# 标题

"title.buttons.nebula" : "NEBULA"
"title.label.nebula" : "Nebula on the Ship"

"title.buttons.update" : "更新到最新版的NoS"
"title.buttons.addons" : "附加包"
"title.buttons.developersStudio" : "Dev. 工作室"

# 验证

"certification.uncertified" : "未验证"
"certification.uncertified.detail" : "这个玩家没有安装NoS。"
"certification.uncertified.client" : "不要在安装了NoS的情况下<br>进入原版游戏。"
"certification.unmatchedEpoch" : "不匹配的版本"
"certification.unmatchedEpoch.detail" : "此玩家安装的NoS版本相差太远了。<br>领导他们去到相同NoS版本的<b>GitHub</b>页面。"
"certification.unmatchedEpoch.client" : "房主安装的NoS版本和你的相差太远了。<br>从<b>GitHub</b>获取相同版本的NoS！"
"certification.unmatchedBuild" : "不匹配的版本"
"certification.unmatchedBuild.detail" : "这个玩家安装了不同版本的NoS。<br>领导他们去<b>标题界面</b>获取相同版本的NoS。"
"certification.unmatchedBuild.client" : "房主安装了不同版本的NoS。<br>从<b>标题界面</b>获取相同版本的NoS！"
"certification.unmatchedAddon" : "不匹配的附加包"
"certification.unmatchedAddon.detail" : "这个玩家的附加包配置不匹配。<br>有些附加包必须被所有人安装。"
"certification.unmatchedAddon.client" : "附加包配置不匹配。<br>有些附加包必须被所有人安装。"

# UI

"ui.dialog.yes" : "是"
"ui.dialog.no" : "否"
"ui.dialog.ok" : "好的"
"ui.dialog.exit" : "退出"
"ui.common.loading" : "加载中..."
"ui.update.waitFinishing" : "等待更新完成..."
"ui.update.finishUpdate" : "更新完成！<br>请重启游戏。"
"ui.document.tooLongNesting" : "[安装时间过长。]"

# 版本

"version.category.all" : "全部"
"version.category.major" : "稳定版"
"version.category.snapshot" : "快照版"
"version.category.preRelease" : "预发布版"
"version.category.custom" : "自定义"
"version.category.unknown" : "未知"
"version.fetching.gainPackage" : "获得"
"version.fetching.current" : "目前"
"version.fetching.mismatched" : "不匹配"

# 游戏模式

"gamemode.standard" : "标准"
"gamemode.freeplay" : "自由模式"

# 设置

"options.switch.off" : "关"
"options.switch.on" : "开"
"options.percentage" : "%"
"options.cross" : "x"
"options.sec" : "s"
"options.followPrimaryChance" : "-"
"options.inactivated" : "未激活"

"options.gamemode" : "游戏模式"

"options.tab.setting" : "游戏 [设置]"
"options.tab.crewmate" : "[船员] 职业"
"options.tab.impostor" : "[内鬼] 职业"
"options.tab.neutral" : "[中立] 职业"
"options.tab.ghost" : "[鬼魂] 职业"
"options.tab.modifier" : "[修改器]"

"options.assignment" : "角色分配设置"
"options.assignment.detail" : "关于角色分配的数量"
"options.assignment.crewmate" : "船员职业"
"options.assignment.impostor" : "内鬼职业"
"options.assignment.neutral" : "中立职业"
"options.assignment.unlimited" : "不限制"

"options.soloFreePlay" : "单挑自由模式设置"
"options.soloFreePlay.detail" : "关于人偶"
"options.soloFreePlay.numOfDummies" : "人偶数量"

"options.map" : "地图设置"
"options.map.detail" : "关于生成方法"
"options.map.spawnMethod" : "生成方法"
"options.map.spawnMethod.default" : "默认"
"options.map.spawnMethod.selective" : "可选"
"options.map.spawnMethod.random" : "随机"
"options.map.spawnCandidates" : "出生点候选数"
"options.map.silentVents" : "安静的管道"
"options.map.customization" : "地图自定义"
"options.map.customization.skeld.useAdmin" : "管理员控制台"
"options.map.customization.skeld.cafeteriaVent" : "额外的管道 (餐厅)"
"options.map.customization.skeld.storageVent" : "额外的管道 (仓库)"
"options.map.customization.skeld.reactorDuration" : "反应堆爆炸时间"
"options.map.customization.skeld.lifeSupportDuration" : "氧气剩余时间"
"options.map.customization.mira.useAdmin" : "管理员控制台"
"options.map.customization.mira.reactorDuration" : "反应堆爆炸时间"
"options.map.customization.mira.lifeSupportDuration" : "氧气剩余时间"
"options.map.customization.polus.useAdmin" : "管理员控制台"
"options.map.customization.polus.specimenVent" : "额外的管道 (样品室)"
"options.map.customization.polus.reactorDuration" : "反应堆爆炸时间"
"options.map.customization.airship.useCockpitAdmin" : "管理员控制台 (驾驶舱)"
"options.map.customization.airship.useRecordsAdmin" : "管理员控制台 (档案室)"
"options.map.customization.airship.meetingVent" : "额外的管道 (会议室)"
"options.map.customization.airship.electricalVent" : "额外的管道 (电气室)"
"options.map.customization.airship.oneWayMeetingRoom" : "单道会议室"
"options.map.customization.airship.armoryWiring" : "额外的接线控制台 (军械库)"
"options.map.customization.airship.vaultWiring" : "额外的接线控制台 (金库)"
"options.map.customization.airship.hallwayWiring" : "额外的接线控制台 (走廊)"
"options.map.customization.airship.medicalWiring" : "额外的接线控制台 (医务室)"
"options.map.customization.airship.heliDuration" : "Heli Sabo."
"options.map.customization.fungle.simpleLaboratory" : "简便的实验室"
"options.map.customization.fungle.thinFog" : "更薄的雾"
"options.map.customization.fungle.glowingCampfire" : "发光的营火"
"options.map.customization.fungle.glowingMushroom" : "发光的蘑菇"
"options.map.customization.fungle.quickPaceDoorMinigame" : "快节奏的门小游戏"
"options.map.customization.fungle.reactorDuration" : "反应堆爆炸时间"

"options.meeting" : "会议设置"
"options.meeting.detail" : "关于会议"
